#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:03:31Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:03:36Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:03:41Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:03:46Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:03:51Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:03:56Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:04:01Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:04:06Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:04:11Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:04:16Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:04:21Z,281,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:04:26Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:04:31Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:04:36Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:04:41Z,281,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:04:46Z,280,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:04:51Z,280,brightness,environment,oxocard01
